Title,TMDb_id,IMDb_id,Release Date,Synopsis Short,Synopsis Long,Language,Status,Budget,RT Rating,Metascore,IMDb Rating,IMDb Votes,DVD Date,Box Office,Genre IDs
The First Purge,442249,tt6133466,2018-07-04,The film will be a prequel that will focus on the events that lead up to the very first Purge event.,"To push the crime rate below one percent for the rest of the year, the New Founding Fathers of America test a sociological theory that vents aggression for one night in one isolated community. But when the violence of oppressors meets the rage of the others, the contagion will explode from the trial-city borders and spread across the nation.",en,Released,13000000,,N/A,N/A,N/A,N/A,N/A,"[28, 27, 878, 53]"
Big Legend,526224,tt6409762,2018-07-01,An ex-soldier ventures into the Pacific Northwest to uncover the truth behind his fiance's disappearance.,An ex-soldier ventures into the Pacific Northwest to uncover the truth behind his fiance's disappearance.,en,Released,0,,N/A,4.5,99,03 Jul 2018,N/A,"[28, 27, 53]"
The Death of Superman,487670,tt7167658,2018-07-03,Superman battles against an insurmountable foe named Doomsday.,"When a hulking monster emerges from an underground resting place and begins a mindless rampage, the Justice League is quickly called in to stop the colossal force of nature. But it soon becomes apparent that only Superman can stand against the monstrosity that has been nicknamed Doomsday.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[16, 28, 18, 878]"
Sorry to Bother You,424781,tt5688932,2018-07-06,"In an alternate present-day version of Oakland, telemarketer Cassius Green discovers a magical key to professional success, propelling him into a macabre universe.","In an alternate present-day version of Oakland, black telemarketer Cassius Green discovers a magical key to professional success – which propels him into a macabre universe.",en,Released,0,92%,72,6.0,617,N/A,N/A,"[14, 878, 35]"
Hover,522882,tt8210516,2018-06-29,"HOVER takes place in the near future, where environmental strain has caused food shortages around the world. Technology provides a narrow path forward, with agricultural drones maximizing ...","In a near future when environmental havoc is causing food shortages and compelling the government to protect its organized crop system by deploying sentinel drones, a handful of locals discover a sinister connection between sick farmland inhabitants and the tech that’s meant to be protect them.",en,Released,0,,40,4.5,37,03 Jul 2018,N/A,[878]
Woman Walks Ahead,396373,tt5436228,2018-06-29,"Catherine Weldon, a portrait painter from 1890s Brooklyn, travels to Dakota to paint a portrait of Sitting Bull and becomes embroiled in the Lakota peoples' struggle over the rights to their land.","A headstrong New York painter embarks on a dangerous journey to meet Sitting Bull, but must face off with an Army officer intent war with the Native Americans.",en,Released,0,60%,N/A,5.7,155,31 May 2018,N/A,"[18, 36, 37]"
Swimming with  Men,506025,tt6532374,2018-07-06,"A man who is suffering a mid-life crisis finds new meaning in his life as part of an all-male, middle-aged, amateur synchronised swimming team.","A man who is suffering a mid-life crisis finds new meaning in his life as part of an all-male, middle-aged, amateur synchronised swimming team.",en,Released,0,,N/A,5.4,19,N/A,N/A,[35]
Paradoxical,514996,,2018-07-06,,A reckless teenager is leaving school when he inadvertently wanders into a place where time and space are warped...and there might be someone else there with him.,en,Released,1000,,,,,,,[53]
Leave No Trace,443463,tt3892172,2018-06-29,"A father and his thirteen year-old daughter are living in an ideal existence in a vast urban park in Portland, Oregon, when a small mistake derails their lives forever.","A father and daughter live a perfect but mysterious existence in Forest Park, a beautiful nature reserve near Portland, Oregon, rarely making contact with the world. But when a small mistake tips them off to authorities, they are sent on an increasingly erratic journey in search of a place to call their own.",en,Released,0,100%,84,7.0,191,N/A,N/A,[18]
Curry Western,528671,tt5518134,2018-07-03,A black comedy of human greed with a zest of eco terrorism.,"Sheela, an English activist of Indian origin, learns that her father has died, devoured by a tiger! Despite her hatred for this father who returned to India thereby abandoning her and her mother, Sheela and her husband go to India to sell the property she inherited. When they arrive, they encounter Bindu, a white hippie, who declares himself to be her father’s spiritual son, and who claims his right for the property. Not without charming Sheela…",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Yung,530228,tt5860356,2018-06-30,N/A,"This film follows four young girls into the vibrant, hedonistic subculture of Berlin. Janaina, 17, earns money by making Internet pornography. Her best friend, Emmy, 18, finds the whole city intoxicating, without realizing that she's getting deeper and deeper into a cycle of addiction. Joy muses about love when she doesn't happen to be selling drugs. And Abbie, 16, dreams of escaping to Los Angeles.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Summer of '67,520930,tt6536668,2018-06-29,"Based on real life events, Summer of '67 brings to life the turbulent times of the sixties and the struggles faced by the men and women impacted by the Vietnam War. Young wife and mother ...","Based on real life events, Summer of '67 brings to life the turbulent times of the sixties and the struggles faced by the men and women impacted by the Vietnam War. Young wife and mother Milly (Rachel Schrey) is forced to live with her mother-in-law while her husband Gerald (Cameron Gilliam) is away on the USS Forrestal. Kate (Bethany Davenport) must choose between Peter (Christopher Dalton) her high school sweetheart and Van (Sam Brooks) her new hippie boyfriend. Ruby Mae (Sharonne Lanier) finally finds true love with Reggie (Jerrold Edwards) only to have him whisked away by the draft. Each woman faces the question of whether or not their man will return, and even if he does, will life as they know it ever be the same?",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[18, 10749, 36, 10752]"
I Thought You Were a Nice Man,520779,tt3425408,2018-06-30,A beautiful young woman with a horrible secret is protected by a loving family.,A beautiful young woman with a horrible secret is protected by a loving family.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[27, 53]"
Reflections in the Dust,532787,tt8012228,2018-06-30,A chronicle of the relationship between a paranoid schizophrenic clown and his blind daughter.,"“I don’t believe in love because I’ve never seen it,” responds a young woman to an unseen interviewer in the first few minutes of the movie. This bleak portrait of loneliness and social exclusion is set on the edge of a desolate swamp where an aging clown and his daughter are struggling to survive. The location could be the end of the world, a place where hope has vanished along with a belief in the afterlife and the existence of God. The two unfortunates live together without the likelihood of change, as fear, aggression, and anger take hold of them – but they also experience sudden moments of tenderness.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[18, 878]"
FORMULA 1 EYETIME GROSSER PREIS VON ÖSTERREICH 2018,532883,tt7727450,2018-07-01,N/A,"The 2018 Austrian Grand Prix (formally known as the Formula 1 Eyetime Grosser Preis von Österreich) is a Formula One motor race that is due to take place on July 1st, 2018 at the Red Bull Ring, in Spielberg, Austria. The race is the ninth round of the 2018 FIA Formula One World Championship. It is the thirty-seventh running of the Austrian Grand Prix, and the thirty-first time the event had been included as a round of the Formula One World Championship since the inception of the series in 1950.",en,Released,0,,N/A,8.5,11,,,[]
A Young Man with High Potential,530227,tt5347122,2018-06-29,N/A,"Piet, who is studying computer science, is as inexperienced sexually as he is intelligent. When he notices that his feelings for Klara, a fellow student, are not really reciprocal, he is deeply hurt. After trying out sleeping pills on himself, he drugs Klara, with unexpected consequences.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
The Crossword Mystery,529245,tt8020378,2018-06-30,A brilliant crossword puzzle editor (Chabert) finds her life turned upside-down when she is pulled into a police investigation after several of the clues in her recent puzzles are linked to...,"A brilliant crossword puzzle editor (Chabert) finds her life turned upside-down when she is pulled into a police investigation after several of the clues in her recent puzzles are linked to unsolved crimes. Proving her innocence means leaving the comfort of her sheltered world and working with a tough police detective (Elliott), puzzling through clues together in order to crack the case, as the two are fish out of water in each other's worlds.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[9648]
Patrick,478159,tt6542108,2018-06-29,N/A,"Sarah Francis is a young woman whose life is a bit of a mess. The last thing she needs is someone else to look after, let alone someone who dribbles, snores and eats from the kitchen trash. Yet, like it or not, her grandmother has left Sarah her prized possession, a very spoilt pug named Patrick. Surely she must have had her reasons?! Apparently not, as this four-legged friend proceeds to cause chaos in all aspects of Sarah’s life. But then something remarkable happens as Patrick, with all his stubby, stumpy attitude, begins to turn her life around.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[10751, 35]"
Poetry Slammed,526460,tt7006476,2018-07-04,"Hex-Man D-Lord wants nothing more than to win the Ultra States Poetry Slam, the most prestigious poetry slam in the world. But the intimidating The Groove stands in his way, and with the ...","Hex-Man D-Lord wants nothing more than to win the Ultra States Poetry Slam, the most prestigious poetry slam in the world. But the intimidating The Groove stands in his way, and with the unorthodox training methods Hex-Man's coach Julius uses to prepare Hex-Man for the Ultra States, Hex-Man just might have a chance to take down The Groove.",en,Released,2000,,N/A,N/A,N/A,N/A,N/A,[35]
Killer Ending,528254,tt7687082,2018-06-30,N/A,Agatha Sayers best-selling novel becomes her worst nightmare when her daughter is abducted in a copycat scenario tangled with an obsessive assistant intent on stealing her identity.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Jackalope,531635,tt7738758,2018-06-30,A young woman goes through a surreal identity crisis.,A young woman goes through a surreal identity crisis.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,[18]
Spot of the 22nd Ji.hlava IDFF 2018,533419,,2018-07-02,,Jean-Luc Godard’s trailer for the 2018 Jihlava International Documentary Film Festival,en,Released,0,,,,,,,[]
Intrusive Thoughts,533223,tt3906502,2018-07-01,N/A,"Intrusive Thoughts starring Kenneth Miller, Larry Cedar, and Kristen DeVore Rakes. A young woman tortured by jealousy is waiting for her husband to return from work, while holding on to her last bit of sanity.",en,Released,1500,,N/A,N/A,N/A,N/A,N/A,"[53, 27]"
Three Michaels,533367,,2018-07-02,,"A man is having the worst week of his life, and his two best friends come over to cheer him up. They are all named Michael.",en,Released,0,,,,,,,[]
ROH Best In The World 2018,533127,,2018-06-29,,Ring of Honor’s Best in the World pay-per-view last night was from just outside Baltimore in the UMBC Event Center.,en,Released,0,,,,,,,[28]
la dernière gorgée,532754,,2018-06-29,,"Ah, little lad, you're staring at my fingers. Would you like me to tell you the little story of right-hand/left-hand? The story of good and evil? H-A-T-E! It was with this left hand that old brother Cain struck the blow that laid his brother low. L-O-V-E! You see these fingers, dear hearts? These fingers has veins that run straight to the soul of man. The right hand, friends, the hand of love. Now watch, and I'll show you the story of life. Those fingers, dear hearts, is always a-warring and a-tugging, one agin t'other. Now watch 'em! Old brother left hand, left hand he's a fighting, and it looks like love's a goner. But wait a minute! Hot dog, love's a winning! Yessirree! It's love that's won, and old left hand hate is down for the count!",en,Released,0,,,,,,,[]
In the Middle of the River,530049,tt6096542,2018-06-29,"A wounded military veteran returns home to face the war within his own dysfunctional family, as he tries to piece together the reasons behind his sister's mysterious death.","Led to believe his abusive grandfather is responsible for his sister's recent death, Gabriel returns to his humble home in rural New Mexico. Yearning to protect his family, he swears to secretly kill his grandfather, yet at the critical moment, his plan is foiled and the two men are forced to spend the day together. Both war veterans, they begin talking about their traumatic experiences. Gabriel realizes the world is not as black and white as he once thought it was. Slowly, he is forced to take responsibility for his own role in the family crisis.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
City Canvas,532320,,2018-07-02,,Scenes throughout the city relating back to the museum.,en,Released,0,,,,,,,[]
Ceci n'est pas un cannolo,533350,tt8617816,2018-06-29,N/A,A documentary about today's Sicily.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
On the Ropes,533509,tt8110966,2018-07-03,"Following the sudden death of their father, two brothers realize the greatest threat to their criminal empire might just be each other. A no-holds-barred battle for power ensues that threatens to destroy everything their old man built.","Following the sudden death of their father, two brothers realize the greatest threat to their criminal empire might just be each other. A no-holds-barred battle for power ensues that threatens to destroy everything their old man built.",en,Released,0,,N/A,4.6,16,N/A,N/A,[28]
Ouija Seance: The Final Game,533527,tt8655708,2018-07-02,"Sarah and her friends decide to spend the weekend at an old villa Sarah mysteriously inherited. After finding a Ouija Board in the attic, Sarah and her friends unknowingly awaken an evil ...","Sarah and her friends decide to spend the weekend at an old villa Sarah mysteriously inherited. After finding a Ouija Board in the attic, Sarah and her friends unknowingly awaken an evil force connected to the villa’s hidden secrets. To fight the unimaginable horror they will have to face their darkest fears and worst nightmares.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[27]
Walden,533542,,2018-07-02,,A documentary comprising a thirteen 360° panning shots that gradually reveal the environments and conditions in which wood is transported from Austria to Brazil.,en,Released,0,,,,,,,[]
Horndogs Beach Party,533566,tt8363908,2018-06-30,,"Two best friends rent a beach house for the weekend only to discover it’s been double booked so they’ll have to share the place... with two beautiful women! To win the affection of these gorgeous gals our wannabe studs must throw the best beach bash ever to win the legendary Horndogs Beach Party. However a nosey neighbor and some selfish dude-bros have sabotage on their minds. Will our heroes win the girls' hearts? Can this be the greatest beach party ever? What time is the wet t-shirt contest? All will be revealed. Don’t forget the lotion... the sun screen, you perverts.",en,Released,0,,,,,,,[35]
Twig,533648,,2018-07-03,,Twig fights his best friend and lives in a cemetery.,en,Released,0,,,,,,,"[18, 35]"
Recall,533741,tt3754662,2018-07-03,"When given the chance at a fresh start, a grief-stricken young man and his coked-up step-brother must confront a local mafia kingpin and perhaps something even more dangerous - their past.","When given the chance at a fresh-start, a grieving young man and his coked-up stepbrother, must confront a local mafia kingpin and perhaps something even more dangerous - their past.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[80, 18, 53]"
(un)MUTE,533756,tt8473810,2018-07-01,,"Art unmutes the silenced, questions, accepts, erases borders, brings people together and also, makes us humans.",en,Released,0,,,,,,,[]
One Less God,471317,tt3418424,2018-07-05,A group of international travelers struggle to survive when Islamic extremists besiege their luxury Indian hotel. Inspired by true events.,"When Islamic fundamentalists besiege an Indian hotel, the guests battle to escape the systematic extermination and their own conflicting ideologies. Inspired by true events.",en,Released,0,,N/A,7.0,31,N/A,N/A,"[80, 28]"
Bellator 201: Macfarlane vs. Lara,531873,,2018-06-29,,"Bellator 201: Macfarlane vs. Lara took place on June 29, 2018 at the Pechanga Resort and Casino in Temecula, California. The event aired live in prime time on Paramount Network.",en,Released,0,,,,,,,[]
The Challenge: Everest,533156,,2018-06-30,,"In a journey that captures the mental and physical toll of the 8,848-meter climb – which has claimed the lives of nearly 300 people – The Challenge: Everest accompanies Fogle and Pendleton during their six-day trek to base camp, acclimatisation on Everest and final ascent to reach the summit.",en,Released,0,,,,,,,[]
Minutes to Midnight,365651,tt3079568,2018-07-03,"On the cusp of New Year's Eve, seven friends and a mysterious backpacker converge at a desolate ski lodge in the mountains when they are systematically hunted down by ruthless masked men with a cryptic agenda.","On the cusp of New Year's Eve, seven friends and a mysterious backpacker converge at a desolate ski lodge in the mountains when they are systematically hunted down by ruthless masked men with a cryptic agenda.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[27, 28]"
Winterlong,531746,,2018-06-30,,"When his estranged wife deposits his teenage son Julian at the doorstep of his remote caravan home, solitary (though charming) poacher Francis must amend his ways, take on new responsibilities and engage with the world. But just as the two begin to bond, Julian takes a friend into the woods where an accident occurs that puts them under the authorities’ spotlight. They must make a decision that will forever change their lives.",en,Released,0,,,,,,,[]
Who's Watching Oliver,448561,tt6158692,2018-07-03,Who's watching Oliver tells the story of a mentally unstable loner lost in a life forced upon him. By night Oliver aimlessly wanders the streets and bars on what can only be described as a ...,Who's watching Oliver tells the story of a mentally unstable loner lost in a life forced upon him. By night Oliver aimlessly wanders the streets and bars on what can only be described as a truly shocking and humiliating killing spree. His only savior and possible way out of a life he is desperate to escape comes in the form of the beautiful Sophia with her sweet eccentricity and naivety to the danger she has put herself in.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[18, 27]"
Nuuca,476280,,2018-07-02,,"In this evocative meditation, a disturbing link is made between the resource extraction industries’ exploitation of the land and violence inflicted on Indigenous women and girls. Or, as one young woman testifies, “Just as the land is being used, these women are being used.”",en,Released,0,,,,,,,[]
22 Chaser,531647,tt5130442,2018-07-06,One of the city's last decent tow truck drivers risks everything on a desperate quest to become king of the road and provide for his struggling family.,One of the city's last decent tow truck drivers risks everything on a desperate quest to become king of the road and provide for his struggling family.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Specialised Technique,534194,,2018-07-05,,"William Sellers and the Colonial Film Unit developed a framework for colonial cinema, this included slow edits, no camera tricks and minimal camera movement. Hundreds of films were created in accordance to this rule set. In an effort to recuperate black dance from this colonial project, Specialised Technique, attempts to transform this material from studied spectacle to livingness.",en,Released,0,,,,,,,[]
